aberrant,adjective: markedly different from an accepted norm,"When the financial director started screaming and throwing food at his co-workers, the police had to come in to deal with his aberrant behavior.",,,
aberration,noun: a deviation from what is normal or expected,Aberrations in climate have become the norm: rarely a week goes by without some meteorological phenomenon making headlines.,,,
abjure,verb: formally reject or give up (as a belief),"While the church believed that Galileo abjured the heliocentric theory under threat of torture, he later wrote a book clearly supporting the theory.",,,
aboveboard,adjective: open and honest,"The mayor, despite his avuncular face plastered about the city, was hardly aboveboard – some concluded that it was his ingratiating smile that allowed him to engage in corrupt behavior and get away with it.",,,
abrogate,verb: revoke formally,"As part of the agreement between the labor union and the company, the workers abrogated their right to strike for four years in exchange for better health insurance.",,,
abstain,verb: choose not to consume or take part in (particularly something enjoyable),"Considered a health nut, Jessica abstained from anything containing sugar--even chocolate.",,,
abstruse,adjective: difficult to understand; incomprehensible,Physics textbooks can seem so abstruse to the uninitiated that readers feel as though they are looking at hieroglyphics.,,,
abysmal,adjective: extremely bad,Coach Ramsey took his newest player off the field after watching a few painful minutes of her abysmal performance.,,,
access,"noun: the ability to go into (when somebody or something must allow you to enter)
 verb: to go into something when allowed to enter","Only students have access to the university library. 
There is a large amount of oil under the ice, but we have not be able to access it.",,,
accolade,noun: an award or praise granted as a special honor,"Jean Paul-Sartre was not a fan of accolades, and as such, he refused to accept the Nobel Prize for Literature in 1964.",,,
acerbic,adjective: harsh in tone,"Most movie critics are acerbic towards summer blockbusters, often referring to them as garbage.",,,
acme,noun: the highest point of achievement,"The new Cessna airplanes will be the acme of comfort, offering reclining seats and ample legroom.",,,
acrimony,noun: bitterness and ill will,The acrimonious dispute between the president and vice-president sent a clear signal to voters: the health of the current administration was imperiled.,,,
adamant,adjective: refusing to change one's mind,"Civil rights icon Rosa Parks will forever be remembered for adamantly refusing to give up her seat on a public bus--even after the bus driver insisted, she remained rooted in place.",,,
adequate,adjective: good enough for what you need,A very light jacket will be adequate for Los Angeles's warm winter.,,,
adjudicate,verb: to serve as a judge in a competition; to arrive at a judgment or conclusion,Only those with the most refined palates were able to adjudicate during the barbeque competition.,,,
admonish,"verb: to warn strongly, even to the point of reprimanding","Before the concert began, security personel admonished the crowd not to come up on stage during the performance.",,,
admonitory,adjective: serving to warn; expressing reproof or reproach especially as a corrective,"At the assembly, the high school vice-principal gave the students an admonitory speech, warning them of the many risks and dangers of prom night.",,,
advocate,"verb: speak, plead, or argue in favor of
noun: a person who pleads for a cause or propounds an idea","While the senator privately approved of gay marriage, he was unwilling to advocate for the cause in a public venue.
Martin Luther King Jr. was a tireless advocate for the rights of African-Americans in the United States.",,,
aesthete,noun: one who professes great sensitivity to the beauty of art and nature,"A true aesthete, Marty would spend hours at the Guggenheim Museum, staring at the same Picasso.",,,
aesthetic,"adjective: concerned with the appreciation of beauty
noun: a set of principles underlying and guiding the work of a particular artist or artistic movement.","The director, not known for his aesthetic sensibilities, decided not to use costumes at all, and put on the play in everyday clothing.
The artist operated according to a peculiar aesthetic, not considering any photograph to be worth publishing unless it contained a marine mammal.",,,
affable,adjective: likeable; easy to talk to,"For all his surface affability, Marco was remarkably glum when he wasn’t around other people.",,,
affluent,adjective: wealthy,"The center of the city had sadly become a pit of penury, while, only five miles away, multi-million dollar homes spoke of affluence.",,,
afford,verb: provide with an opportunity,The summit of Mt. Kilimanjaro affords a panoramic view that encompasses both Tanzania and Kenya.,,,
alacrity,noun: an eager willingness to do something,"The first three weeks at his new job, Mark worked with such alacrity that upper management knew it would be giving him a promotion.",,,
altruism,noun: the quality of unselfish concern for the welfare of others,"Albert Schweitzer spent most of his life doing missionary work as a doctor in Africa, seeking no reward, apparently motivated only by altruism.",,,
amalgam,noun: a mixture of multiple things,"The band’s music was an amalgam of hip-hop, flamenco and jazz, blending the three styles with surprising results.",,,
ambiguous,adjective: open to more than one interpretation,"The coach told his team, “Move towards that side of the field”; because he did not point, his directions were ambiguous, and the team had no idea to which side he was referring.",,,
ambivalent,adjective: mixed or conflicting emotions about something,"Sam was ambivalent about studying for the exam because doing so ate up a lot of his time, yet he was able to improve his analytical skills.",,,
ameliorate,verb: make something bad better,"""Three Cups of Tea"" tells the story of western man who hopes to ameliorate poverty and the lack of education in Afghanistan.",,,
amenable,adjective: easily persuaded,"Even though she did not like the outdoors, Shirley was generally amenable and so her brother was able to persuade her to go camping.",,,
amiable,adjective: friendly,Amy’s name was very apt: she was so amiable that she was twice voted class president.,,,
amok,adverb: in a frenzied or uncontrolled state,"Wherever the bowl haircut teen-idol went, his legions of screaming fans ran through the streets amok, hoping for a glance at his boyish face.",,,
amorphous,adjective: shapeless,His study plan for the GRE was at best amorphous; he would do questions from random pages in any one of seven test prep books.,,,
amply,adverb: more than is adequate,The boat was amply supplied for its year at sea—no man would go hungry or thirst.,,,
anachronism,noun: something that is inappropriate for the given time period (usually something old).,"Dressed in 15th century clothing each day, Edward was a walking anachronism.",,,
analogous,adjective: similar in some respects but otherwise different,"In many ways, the Internet's transformative effect on society has been analogous to that of the printing press.",,,
anathema,noun: a detested person; the source of somebody's hate,"Hundreds of years ago, Galileo was anathema to the church; today the church is anathema to some on the left side of the political spectrum.",,,
anemic,adjective: lacking energy and vigor,"After three straight shows, the lead actress gave an anemic performance the fourth night, barely speaking loudly enough for those in the back rows to hear.",,,
animosity,noun: intense hostility,The governor’s animosity toward his rival was only inflamed when the latter spread false lies regarding the governor’s first term.,,,
anodyne,"noun: something that soothes or relieves pain
adjective: inoffensive","Muzak, which is played in department stores, is intended to be an anodyne, but is often so cheesy and over-the-top that customers become irritated.
Wilbur enjoyed a spicy Mexican breakfast, but Jill preferred a far more anodyne meal in the mornings.",,,
anomalous,adjective: not normal,"According to those who do not believe in climate change, the extreme weather over the last five years is simply anomalous—daily temperatures should return to their old averages, they believe.",,,
anomaly,"noun: something that is not normal, standard, or expected","After finding an anomaly in the data, she knew that she would have to conduct her experiment again.",,,
antedate,verb: precede in time,Harry was so unknowledgable that he was unaware the Egyptian pharaohs antedated the American Revolution.,,,
antic,adjective: ludicrously odd,"The clown's antic act was too extreme for the youngest children, who left the room in tears.",,,
antipathy,noun: an intense feeling of dislike or aversion,"Maria had an antipathy for tour groups, often bolting to the other side of the museum as soon as she saw a chaperone leading a group of wide-eyed tourists.",,,
antiquated,adjective: old-fashioned; belonging to an earlier period in time,"Aunt Betty had antiquated notions about marriage, believing that a man should court a woman for at least a year before receiving a kiss.",,,
antithetical,adjective: sharply contrasted in character or purpose,"His deep emotional involvement with these ideas is, in fact, antithetical to the disattachment Buddhism preaches.",,,
apathetic,adjective: marked by a lack of interest,Mr. Thompson was so talented at teaching math that even normally apathetic students took interest.,,,
apathy,noun: an absence of emotion or enthusiasm,Widespread apathy among voters led to a very small turnout on election day.,,,
apex,noun: the highest point,The Ivy League is considered the apex of the secondary education system.,,,
aphorism,noun: a short instructive saying about a general truth,"Nietzsche was known for using aphorisms, sometimes encapsulating a complex philosophical thought in a mere sentence.",,,
aphoristic,adjective: something that is concise and instructive of a general truth or principle,"Sometimes I can't stand Nathan because he tries to impress everyone by being aphoristic, but he just states the obvious.",,,
aplomb,noun: great coolness and composure under strain,Nancy acted with aplomb during dangerous situations--she once calmly climbed up an oak tree to save a cat.,,,
apocryphal,adjective: being of questionable authenticity,The web is notorious for sandwiching apocryphal stories between actual news.,,,
apogee,noun: the highest point,"The apogee of the Viennese style of music, Mozart’s music continues to mesmerize audiences well into the 21st century.",,,
apostate,noun: a person who has abandoned a religious faith or cause,"An apostate of the Republican Party, Sheldon has yet to become affiliated with any party and dubs himself an independent.",,,
apothegm,"noun: a short, pithy instructive saying","Winston Churchill is famous for many apothegms, but this might be his most famous: ""It has been said that democracy is the worst form of government except all the others that have been tried.""",,,
apotheosis,noun: exaltation to divine status; the highest point of development,"As difficult as it is to imagine, the apotheosis of Mark Zuckerberg’s career, many believe, is yet to come.",,,
appease,verb: pacify by acceding to the demands of,"Neville Chamberlain, the British prime minister during WWII, tried to appease Hitler and in doing so sent a clear message: you can walk all over us.",,,
appreciable,adjective: large enough to be noticed (usu. refers to an amount),There is an appreciable difference between those who say they can get the job done and those who actually get the job done.,,,
apprehension,noun: fearful expectation,"Test day can be one of pure apprehension, as many students worry about their test scores.",,,
approbatory,adjective: expressing praise or approval,"Although it might not be her best work, Hunter's new novel has received generally approbatory reviews.",,,
appropriate,"verb: to give or take something by force
verb: to allocate","The government appropriated land that was occupied by squatters, sending them scurrying for another place to live.
The committe appropriated the funds to its various members.",,,
appurtenant,adjective: supply added support,"n hiking Mt. Everest, sherpas are appurtenant, helping climbers both carry gear and navigate treacherous paths.",,,
arbitrary,"adjective: based on a random, groundless decision",One of the arbitrary decrees in place during the emperor's rule is that all citizens pay him weekly homage at his palace.,,,
arcane,adjective: requiring secret or mysterious knowledge,Most college fraternities are known for arcane rituals that those hoping to the join the fraterntiy must learn.,,,
arch,adjective: to be deliberately teasing,"The baroness was arch, making playful asides to the townspeople; yet because they couldn't pick up on her dry humor, they thought her supercilious.",,,
archaic,adjective: so old as to appear to belong to a different period,"Hoping to sound intelligent, Mary spoke in archaic English that was right out of Jane Austen's Pride and Prejudice--needless to say, she didn't have many friends.",,,
arduous,adjective: demanding considerable mental effort and skill; testing powers of endurance,"In order to deal with the arduous cross-country journey, truck drivers often survive on a string of caffeinated drinks, staying awake for up to 30 hours at a time.",,,
arrant,adjective: complete and wholly (usually modifying a noun with negative connotation),"An arrant fool, Lawrence surprised nobody when he lost all his money in a pyramid scheme that was every bit as transparent as it was corrupt.",,,
arriviste,noun: a person who has recently reached a position of power; a social climber,The city center was aflutter with arrivistes who each tried to outdo one another with their ostentatious sports cars and chic evening dress.,,,
arrogate,verb: seize and control without authority,"Arriving at the small town, the outlaw arrogated the privileges of a lord, asking the frightened citizens to provide food, drink, and entertainment.",,,
artful,"adjective: exhibiting artistic skill;
adjective: clever in a cunning way","Picasso is generally considered the most artful member of the Cubist movement.;
Bernie Madoff's artful Ponzi scheme stole billions of dollars from investors and is considered the largest financial fraud in U.S. history.",,,
artifice,noun: cunning tricks used to deceive others,The mayoral candidates both spent much of the campaign accusing each other of artifices designed to mislead the voting public.,,,
artless,adjective: without cunning or deceit,"Despite the president's seemingly artless speeches, he was a skilled and ruthless negotiator.",,,
artlessness,noun: the quality of innocence,"I, personally, found the artlessness of her speech charming.",,,
ascendancy,noun: the state that exists when one person or group has power over another,The ascendancy of the Carlsbad water polo team is clear—they have a decade of championships behind them.,,,
ascetic,"adjective: practicing self-denial
noun: one who practices great self-denial","His ascetic life is the main reason he inspired so many followers, especially since he gave up wealth and power to live in poverty.
Historically, ascetics like Ghandi are often considered wise men partially because of their restraint.",,,
ascribe,verb: attribute or credit to,"History ascribes The Odyssey and The Iliad to Homer, but scholars now debate whether he was a historical figure or a fictitious name.",,,
askance,adverb: with a look of suspicion or disapproval,"The old couple looked askance on the teenagers seated next to them, whispering to each other, ""They've got rings through their noses and purple hair!""",,,
asperity,noun: harshness of manner,"The editor was known for his asperity, often sending severe letters of rejection to amateur writers.",,,
assail,verb: attack in speech or writing,"In the weekly paper, the editor assailed the governor for wasting hundreds of thousands of dollars in public projects that quickly failed.",,,
assiduously,adverb: with care and persistence,"The top college football program recruits new talent assiduously, only choosing those who were the top in their county.",,,
assuage,verb: make something intense less severe,Her fear that the new college would be filled with unknown faces was assuaged when she recognized her childhood friend standing in line.,,,
atavism,noun: a reappearance of an earlier characteristic; throwback,Much of the modern art movement was an atavism to a style of art found only in small villages through Africa and South America.,,,
attenuate,verb: to weaken (in terms of intensity); to taper off/become thinner.,"Her animosity towards Bob attenuated over the years, and she even went so far as to invite him to her party.",,,
audacious,adjective: willing to be bold in social situations or to take risks,"As all of the other campers cowered in their tents, Bill, armed only with a flashlight, audaciously tracked down the bear that had raided their food.",,,
audacity,noun: aggressive boldness in social situations,She surprised her colleagues by having the audacity to publically criticize the findings of an distinguished scientist.,,,
augment,verb: enlarge or increase; improve,"Ideally, the restaurant's augmented menu will expand its clientele and increase its profits.",,,
auspicious,"adjective: favorable, the opposite of sinister","Despite an auspicious beginning, Mike’s road trip became a series of mishaps, and he was soon stranded and penniless, leaning against his wrecked automobile.",,,
austere,"adjective: practicing self-denial
adjective: unadorned in style or appearance
adjective: harsh in manner of temperament","His lifestyle of revelry and luxurious excess could hardly be called austere.
Late Soviet architecture, although remaining largely austere, moved into experimental territory that employed previously unused shapes and structures.
The principal of my elementary school was a cold, austere woman; I could never understand why she chose to work with children.",,,
autocratic,"adjective: characteristic of an absolute ruler or absolute rule; having absolute sovereignty
adjective: offensively self-assured or given to exercising usually unwarranted power","The last true autocratic country is certainly North Korea; nowhere does a leader exercise the absolute control over all aspects of a people the way that Kim Jong-un does.
The manager was finally fired for his autocratic leadership, which often bordered on rude and offensive.",,,
autonomously,adverb: In an autonomous or self-governing manner.,Many of the factory workers are worried about being replaced by machines and computers that will work completely autonomously.,,,
avarice,noun: greed (one of the seven deadly sins),"The Spanish conquistadors were known for their avarice, plundering Incan land and stealing Incan gold.",,,
avaricious,adjective: excessively greedy,Since avaricious desire is similar to gluttony or lust--sins of excess--it was listed as one of the seven deadly sins by the Catholic church.,,,
avert,"verb: turn away
verb: ward off or prevent","Afraid to see the aftermath of the car crash, I averted my eyes as we drove by.
The struggling videogame company put all of its finances into one final, desperate project to avert bankruptcy.",,,
avid,adjective: marked by active interest and enthusiasm,"Martin is an avid birdwatcher, often taking long hikes into remote mountains to see some rare eagle.",,,
badger,verb: to pester,"Badgered by his parents to find a job, the 30-year-old loafer instead joined a gang of itinerant musicians.",,,
baleful,adjective: threatening or foreshadowing evil or tragic developments,Movies often use storms or rain clouds as a baleful omen of evil events that will soon befall the main character.,,,
balk,verb: refuse to comply,"The students were willing to clean up the broken glass, but when the teacher asked them to mop the entire floor, they balked, citing reasons why they needed to leave.",,,
banal,adjective: repeated too often; overfamiliar through overuse,The professor used such banal expression that many students in the class either fell asleep from bordeom or stayed awake to complete his sentences and humor friends.,,,
banality,noun: a trite or obvious remark,Herbert regarded the minister's remark as a mere banality until Sharon pointed out profound implications to the seemingly obvious words.,,,
banish,"verb: expel from a community, residence, or location; drive away",The most difficult part of the fast was banishing thoughts of food.,,,
base,"adjective: the lowest, class were without any moral principles",She was not so base as to begrudge the beggar the unwanted crumbs from her dinner plate.,,,
bastardization,noun: an act that debases or corrupts,The movie World War Z is a complete bastardization of the book with little more in common than zombies and a title.,,,
beatific,adjective: blissfully happy,"Often we imagine all monks to wear the beatific smile of the Buddha, but, like any of us, a monk can have a bad day and not look very happy.",,,
becoming,"adjective: appropriate, and matches nicely",Her dress was becoming and made her look even more beautiful.,,,
beg,verb: to evade or dodge (a question),By assuming that Charlie was headed to college—which he was not—Maggie begged the question when she asked him to which school he was headed in the Fall.,,,
begrudge,"verb: to envy someone for possessing or enjoying something
verb: to give reluctantly","Sitting all alone in his room, Harvey begrudged the happiness of the other children playing outside his window.
We never begrudge money spent on ourselves.",,,
behooves,verb: to be one's duty or obligation,"The teacher looked down at the student and said, ""It would behoove you to be in class on time and complete your homework, so that you don't repeat freshman English for a third straight year.""",,,
belie,verb: to give a false representation to; misrepresent,The smile on her face belies the pain she must feel after the death of her husband.,,,
belittle,"verb: lessen the importance, dignity, or reputation of","A good teacher will never belittle his students, but will instead empower them.",,,
bellicose,adjective: warlike; inclined to quarrel,"Known for their bellicose ways, the Spartans were once the most feared people from Peloponnesus to Persia.",,,
belligerent,adjective: characteristic of one eager to fight,"Tom said that he was arguing the matter purely for philosophical reasons, but his belligerent tone indicated an underlying anger about the issue.",,,
bemoan,verb: express discontent or a strong regret,"While the CFO carefully explained all the reasons for the cuts in benefits, after the meeting employees bemoaned the cuts as further evidence that management was against them.",,,
benighted,adjective: fallen into a state of ignorance,"Far from being a period of utter benightedness, The Medieval Ages produced some great works of theological speculation.",,,
benign,"adjective: kind
adjective: (medicine) not dangerous to health; not recurrent or progressive","I remember my grandfather's face was wrinkled, benign, and calm.
The tumor located in your ear lobe seems to be benign and should not cause you any trouble.",,,
bereft,"adjective: unhappy in love; suffering from unrequited love
adjective: sorrowful through loss or deprivation","After 64 years of marriage, William was bereft after the death of his wife.
""You are not bereft if you haven't played on your Xbox in the past week,"" his mother said.",,,
besiege,"verb: harass, as with questions or requests; cause to feel distressed or worried","After discovering a priceless artifact in her backyard, Jane was besieged by phone calls, emails, and reporters all trying to buy, hold or see the rare piece of history.",,,
besmirch,verb: damage the good name and reputation of someone,"The prince's distasteful choice of words besmirched not only his own name, but the reputation of the entire royal family.",,,
besotted,"adjective: strongly affectionate towards
adjective: very drunk","Even though her father did not approve, Juliet became besotted with the young Romeo.
Never before have I seen my mom so besotted, and honestly, I hope it's the last time she drinks so much.",,,
betray,"verb: to reveal or make known something, usually unintentionally","With the gold medal at stake, the gymnast awaited his turn, his quivering lip betraying his intense emotions.",,,
bilious,adjective: irritable; always angry,"Rex was bilious all morning, and his face would only take on a look of contentedness when he’d had his morning cup of coffee.",,,
blatant,adjective: without any attempt at concealment; completely obvious,Allen was often punished in school for blatantly disrespecting teachers.,,,
