,,GRE词以类记,
RecNo,english,chinese,list
1,humid,adj.潮湿的；湿润的,张红岩：list001
2,equator,n.赤道,张红岩：list001
3,lagoon,n.环礁湖,张红岩：list001
4,tornado,n.旋风；龙卷风,张红岩：list001
5,typhoon,n.台风,张红岩：list001
6,damp,adj.潮湿的,张红岩：list001
7,fault,n.过错；缺点；故障；毛病  vt.挑剔  vi.弄错,张红岩：list001
8,polar,adj.两极的；极地的,张红岩：list001
9,creek,n.小湾；小港；小河,张红岩：list001
10,marine,adj.海的；海产的,张红岩：list001
11,barometer,n.气压计;气压表,张红岩：list001
12,hurricane,n.飓风,张红岩：list001
13,marble,n.大理石；大理石制品,张红岩：list001
14,centigrade,adj.摄氏温度计的,张红岩：list001
15,estuary,n.河口（湾）,张红岩：list001
16,clay,n.黏土；泥土,张红岩：list001
17,gorge,n.峡谷,张红岩：list001
18,strait,n.海峡,张红岩：list001
19,cascade,n.瀑布；瀑布状下垂的东西,张红岩：list001
20,abut,"vt. 接界,毗连",张红岩：list001
21,adjacent,"adj.接近的,毗连的",张红岩：list001
22,adobe,"n.泥砖,土坯",张红岩：list001
23,archipelago,n. 群岛,张红岩：list001
24,arctic,"adj.北极的,极寒的",张红岩：list001
25,arid,adj. 干旱的; 枯燥的,张红岩：list001
26,avalanche,n.雪崩,张红岩：list001
27,balmy,"adj.(气候)温和的,芳香的",张红岩：list001
28,barometer,"n.气压计,晴雨表",张红岩：list001
29,bauxite,n.铝土岩(产铝的矿土、石),张红岩：list001
30,blast,n.一阵(风); 冲击波 vi. vt.爆破,张红岩：list001
31,bleak,"adj. 寒冷的; 阴沉的; 阴郁的,暗淡的",张红岩：list001
32,blizzard,n.暴风雪,张红岩：list001
33,bluster,vi. vt. 指风猛刮,张红岩：list001
34,bog,n.沼泽; vi. vt.使...陷入泥沼,张红岩：list001
35,boulder,n.巨砾,张红岩：list001
36,brink,"n.(峭壁的)边沿,边缘",张红岩：list001
37,brook,n.小河,张红岩：list001
38,canyon,n. 峡谷,张红岩：list001
39,cape,"n. 披肩,短斗篷; 海角",张红岩：list001
40,cavern,n.大洞穴,张红岩：list001
41,centigrade,adj.百分度的，摄氏温度计的,张红岩：list001
42,chasm,"n.(地壳,冰上的)隐窟,深坑(",张红岩：list001
43,clay,n. 黏土,张红岩：list001
44,cloudburst,"n. 大暴雨,豪雨",张红岩：list001
45,contiguous,adj. 接近的; 接壤的,张红岩：list001
46,coterminous,"adj. 毗连的,有共同边界的",张红岩：list001
47,crater,n. 火山口; 弹坑,张红岩：list001
48,creek,"n. 小湾,小溪",张红岩：list001
49,crest,"n.山顶,浪尖; 羽饰, 鸡冠",张红岩：list001
50,cumulus,n. 积云,张红岩：list001
51,curb,n. 马勒; vt. 控制,张红岩：list001
52,cyclone,"n. 旋风,飓风",张红岩：list001
53,delta,n.三角洲,张红岩：list001
54,deluge,n. 大洪水; 暴雨,张红岩：list001
55,desiccate,"vi. vt. (使)完全干涸,脱水",张红岩：list001
56,diurnal,"adj. 白昼的,白天的",张红岩：list001
57,doldrums,n. 赤道无风带; 情绪低落,张红岩：list001
58,domain,n. 领土; 领域,张红岩：list001
59,down-to-earth,adj. 现实的,张红岩：list001
60,downpour,n. 暴雨,张红岩：list001
61,drizzle,vt.  n.下毛毛雨; 毛毛雨,张红岩：list001
62,drizzly,adj. 毛毛细雨的,张红岩：list001
63,drought,n. 干旱时期,张红岩：list001
64,dune,n. 沙丘,张红岩：list001
65,eddy,"n. 漩涡,涡流",张红岩：list001
66,equator,n.赤道,张红岩：list001
67,ferrous,adj.含铁的,张红岩：list001
68,fissure,"n.裂缝,裂隙",张红岩：list001
69,fluvial,"adj.河流的,生长在河中的",张红岩：list001
70,ford,"n. 浅滩,水浅可涉处; vt. 涉水",张红岩：list001
71,frigid,adj.寒冷的；死板的,张红岩：list001
72,frigidity,"n. 寒冷,冷淡,性冷淡",张红岩：list001
73,gem,"n. 宝石,珠宝",张红岩：list001
74,geyser,n. 天然热喷泉,张红岩：list001
75,glacial,"adj. 冰期的,冰河期的; 寒冷的",张红岩：list001
76,granite,n. 花岗石,张红岩：list001
77,graphite,n.石墨,张红岩：list001
78,gravel,"n. 碎石,砂砾",张红岩：list001
79,grit,"n. 沙粒; 决心,勇气; vi. vt. 下定决心,咬紧牙关",张红岩：list001
80,grotto,n.洞穴,张红岩：list001
81,gust,n. 阵风; 一阵(情绪),张红岩：list001
82,hail,n.冰雹;vi. vt. 致敬,张红岩：list001
83,halo,"n. (日、月等)晕,神像之光环",张红岩：list001
84,horizontal,adj. 水平的,张红岩：list001
85,humid,adj.湿润的,张红岩：list001
86,humidity,"n. 湿度,湿气",张红岩：list001
87,hurricane,n. 飓风,张红岩：list001
88,icicle,"n. 冰柱,冰垂",张红岩：list001
89,inclement,adj. (天气)严酷的; 严厉的,张红岩：list001
90,insular,adj. 岛屿的; 心胸狭窄的,张红岩：list001
91,isthmus,n. 地峡,张红岩：list001
92,landlocked,adj. 被陆地包围的,张红岩：list001
93,landslide,n. 山崩; 压倒性胜利,张红岩：list001
94,latitude,n. 言行自由; 纬度,张红岩：list001
95,lava,n. 熔岩,张红岩：list001
96,limestone,n. 石灰岩,张红岩：list001
97,lode,n.矿藏,张红岩：list001
98,marble,n. 大理石,张红岩：list001
99,marine,adj. 海的; 海中的,张红岩：list001
100,maritime,"adj.沿海的;航海的,海上的",张红岩：list001
101,marsh,"n. 沼泽地,湿地",张红岩：list001
102,mesa,"n. 高台地,平顶山",张红岩：list001
103,mire,"n. 泥沼,困境; vi. vt. 使…陷入困境",张红岩：list001
104,monsoon,"n. 季雨,季风",张红岩：list001
105,oasis,n. 绿洲,张红岩：list001
106,ore,"n. 矿,矿石 (注意不要和roe[鱼卵]相混)n.",张红岩：list001
107,outskirts,"n. 郊区,郊外",张红岩：list001
108,peninsula,n. 半岛,张红岩：list001
109,perishing,"adj. 严寒的,令人难受的",张红岩：list001
110,petroleum,n. 石油,张红岩：list001
111,piercing,adj. 刺骨的; 敏锐的,张红岩：list001
112,pinnacle,"n. 尖塔; 山峰,顶峰",张红岩：list001
113,plaster,"n. 灰泥,石膏; vt. 抹泥",张红岩：list001
114,polar,adj.地极的，两极的；磁极的,张红岩：list001
115,precipice,n. 悬崖,张红岩：list001
116,precipitation,n. 急躁; 降雨(量),张红岩：list001
117,rhinestone,"n. 水晶石,莱茵石",张红岩：list001
118,rivulet,"n. 小溪,小河",张红岩：list001
119,sapphire,"n. 青石,蓝宝石; adj.天蓝色的",张红岩：list001
120,seismic,adj. 地震的,张红岩：list001
121,shale,n.页岩,张红岩：list001
122,shoal,"n.浅滩,浅水处; 一群(鱼等)",张红岩：list001
123,silt,"n.淤泥,淤沙",张红岩：list001
124,snowdrift,n. 雪堆,张红岩：list001
125,stratum,n. (复: strata) 地层;社会阶层,张红岩：list001
126,stuffy,"adj.(空气)不新鲜的,闷气的",张红岩：list001
127,sultry,adj.闷热的; (人)风骚的,张红岩：list001
128,swamp,n. 沼泽 vi. vt. 使陷入,张红岩：list001
129,sweltering,adj.酷热的,张红岩：list001
130,tempest,n.暴风雨; 骚动,张红岩：list001
131,terrain,"n.地势,地形",张红岩：list001
132,terrestrial,adj.地球的; 陆地的,张红岩：list001
133,tornado,"n.飓风,龙卷风",张红岩：list001
134,tremor,"n.震动,地震",张红岩：list001
135,whirlpool,n. 漩涡,张红岩：list001
136,zephyr,n.和风 ；西风,张红岩：list001
137,ambience,"n.环境,气氛",张红岩：list001
138,amethyst,n.紫水晶,张红岩：list001
139,aureole,"n.日冕, 光轮",张红岩：list001
140,cascade,n.小瀑布,张红岩：list001
141,crag,"n. 悬崖,峭壁",张红岩：list001
142,emerald,"n.祖母绿, 翡翠; adj. 翠绿色的",张红岩：list001
143,estuary,"n. 河口,三角湾",张红岩：list001
144,gale,n. 狂风; 一阵(笑声),张红岩：list001
145,gloaming,"n. 黄昏,薄暮",张红岩：list001
146,gulch,"n. 深谷,峡谷",张红岩：list001
147,hinterland,n. 内地; 穷乡僻壤,张红岩：list001
148,knoll,n. 小山; 小圆丘,张红岩：list001
149,leeward,adj. 顺风的,张红岩：list001
150,littoral,"adj. 海岸的; n. 海滨,沿海地区",张红岩：list001
151,mistral,n. 寒冷干燥的强风,张红岩：list001
152,moor,"n. 旷野地,荒野; vi. vt.使(船)停泊",张红岩：list001
153,morass,"n. 沼泽地,困境; vi.陷入困境",张红岩：list001
154,quagmire,n.沼泽地; 困境,张红岩：list001
155,rubble,"n.(一堆)碎石,瓦砾",张红岩：list001
156,scarp,"n. 悬崖,陡坡",张红岩：list001
157,scorching,adj. 酷热的,张红岩：list001
158,sizzler,"n.炎热天气,大热天",张红岩：list001
159,teem,vi. vt.充满; 到处都是; vi. vt.倾盆大雨,张红岩：list001
160,torrid,adj.酷热的,张红岩：list001
161,tundra,"n.冻原,苔原",张红岩：list001
162,typhoon,n. 台风,张红岩：list001
163,vernal,"adj.春季的,春季似的",张红岩：list001
164,gusty,a.刮风的，阵阵猛急的,张红岩：list001
165,band,n.乐对,张红岩：list002
166,ingredient,n.（烹调用的）材料；原料；成分,张红岩：list002
167,concentrate,v.集中；聚集,张红岩：list002
168,planet,n.行星,张红岩：list002
169,planet,n.行星,张红岩：list002
170,calcium,n.钙（元素）,张红岩：list002
171,carbohydrate,n.碳水化合物,张红岩：list002
172,ingredient,n.烹任原料；成分,张红岩：list002
173,thaw,vt.解冻,张红岩：list002
174,brake,vt.＆vi.刹车  n.闸；刹车,张红岩：list002
175,reflect,vt.反映;表现;反射 (光、热、声等);映出;反省,张红岩：list002
