序号,section,题号,单词,音标,释义
1,S1,Q1,paradox,['p?r?dɑks],"1.  自相矛盾  (的情况)    You describe a situation as a paradox when it involves two or more facts or qualities that seem to contradict each other.
2.  悖论，似非而是的说法     a statement that seems impossible because it contains two
opposing?ideas?that?are?both?true"
2,S1,Q1,cosmopolitan,['kɑzm?'pɑl?tn],"1. (人等）见多识广的,a cosmopolitan person, belief, opinion etc shows?a?wide?experience of different people and places
2（.   指地方）世界性的，国际性的（含褒义）a cosmopolitan place has people from many different
parts of the world  –  use this to show approval"
3,S1,Q1,capricious,[k?'pr???s],"反复无常的;  易变的  changing often and quickly : impulsive,?unpredictable"
4,S1,Q1,insular,['?ns?l?],"孤立的；与世隔绝的  separated?from other people or cultures : not knowing or interested in
new or different ideas"
5,S1,Q1,mercenary,['m?s?n?ri],唯利是图的  caring only about making money
6,S1,Q1,intransigent,[?n'tr?nz?d??nt],"不妥协的，不让步的  characterized by refusal to compromise or to abandon an extreme
position or attitude : uncompromising"
7,S1,Q2,haunted,['h?nt?d],"(建筑物或地方）闹鬼的  haunted building or other place is one where a ghost regularly
appears.  【拓研教育：YunMengZe1020】"
8,S1,Q2,clamorous,['kl?m?r?s],"吵闹的  If you describe people or their voices as clamorous, you mean they are talking?loudly
or?shouting."
9,S1,Q2,invidious,[?n'v?d??s],令人讨厌的;  惹人反感的  unpleasant and likely to cause?bad?feelings?in other people
10,S1,Q2,numinous,['n?m?n?s],"神圣的;  神秘的  having a mysterious,?holy,?or?spiritual?quality"
11,S1,Q2,empirical,[?m'p?r?kl],"实证的  based on scientific?testing or practical?experience，not on ideas    反义词：
theoretical"
12,S1,Q2,sonorous,['sɑn?r?s],"洪亮的  having a sound that is deep,?loud,?and?pleasant"
13,S1,Q3,dearth,[d??θ],"缺乏，不足  If there is a dearth of something, there is not?enough of it."
14,S1,Q3,presumption,[pri'z?mp??n],"1. (无证据的）推测，假定  a belief that something?is?true?even?though?it?has?not?been?proved
2.  傲慢，自以为是       behaviour that seems?rude?and?too?confident"
15,S1,Q3,detection,[d?'t?k??n],"察觉;  发现  the act or process of discovering,?finding,or?noticing?something"
16,S1,Q3,controversial,"[,kɑntr?'v??l]","有争议的  relating to or causing?much?discussion,?disagreement,?or?argument"
17,S1,Q3,unambiguous,['?n?m'b?gj??s],清楚地，明白的  clearly?expressed or understood : not ambiguous
18,S1,Q4,gainsay,"[,gen'se]",否认  to deny?or?disagree?with?something : to show or say that something is not true
19,S1,Q4,sterling,['st?l??],"(工作或品格)  优秀的  Sterling means very?good in quality; used to describe someone's work
or character."
