序号,单词,音标,释义
1,construe,[k?n?stru],"诠 释    If  something  is  construed  in  a  particular  way,  its  nature  or  meaning  is??interpreted  in  that  way.
construe sth as sth"
2,dense,[d?ns],"〔文章等因信息量大或语言复杂而〕难懂的   a  dense  piece  of  writing  is  difficult??to??understand  because  it
contains a lot of information or uses complicated language"
3,concision,[k?n?s??n],简洁     brevity，succinctness
4,precedence,[pr??sid?ns],"(时间、位置、重要性等的)领先，在前  the condition of being?more?important?than?something?or?someone?else
and therefore coming or being?dealt?with?first"
5,impecunious,[??mp??kju?   ni?s],(尤指长期）的没钱的，穷的  having little or no money，especially over a long period
6,agro-,[??gro?],"“农业”， “农业和... ”      Agro-  is  used  to  form  nouns  and  adjectives  which  refer  to  things  relating  to agriculture, or to agriculture combined with another activity.  ：  agro-chemical residues.  农用化学品残渣"
7,pastoralist,[?pɑ?   st?r?l?st],"1.写田园式作品的作家
2.牧人；(澳大利亚)牧场主"
8,jeopardy,[?d??p?di],"在危险中（指会受到或收到危害）  If someone or something is?in?jeopardy, they are in a dangerous situation
where they might?fail,?be?lost,?or?be?destroyed."
9,immediacy,[??mid??si],"及时性;   紧迫性   The  immediacy  of  an  event  or  situation  is  the  quality  that  makes  it  seem  important  or exciting  because  it  is  happening  at  the  present  time.   （ 霍叔叔提示    必须记住  immediacy  的同义词：
closeness，proximity，  nearness，propinquity）"
10,trumpet,[?tr?mp?t],"1.吹嘘，大肆宣扬 to tell everyone about something that you are proud of, especially in an annoying way
2.〔大象〕吼叫  .if an elephant trumpets, it makes a loud noise"
11,fallacy,[?f?l?si],"1.误解，谬见  a false idea or belief, especially one that a lot of people believe is true       misconception
2.  推理谬误  【正式】  a weakness in someone’s argument or ideas which is caused by a mistake in their thinking formal"
12,topple,[?tɑpl],"1〔.   尤指通过暴力〕使倒台，颠覆，推翻  to take power away from a leader or government, especially by force .
2.  （使）不稳而倒下，（使）倒塌     to become unsteady and then fall over, or to make something do this"
13,Vainglorious vainglory,"[?ve?n?ɡl??   ri?s]
[?ve?n?ɡl??   ri]",非常自负的  having or showing too much pride in your abilities or achievements：??boastful，overweening
14,irreducible,[??r??du?   s?bl],不能缩减的；无法简化的（问题，复杂性）not able to be made smaller or simpler
15,inadvertent,[??n?d?v??   t?nt],"无意的 unintentional
粗心的    caused by lack of attention（omission，error）"
16,unwitting,[?n?w?t??],"不知情的  not aware of what is really happening：??unaware
无意的    not intended or planned：??inadvertent       an unwitting mistake"
17,counterweight,[?ka?nt?rwe?t],"平衡,平衡的建议/行动       a weight that provides a balance against sth of equal weight"
18,faction,[?f?k??n],"派系，小集团   ??a??group  within  a  larger  group  that  has??different??ideas??and??opinions??than??the??rest??of??the
group."
19,despotic,[d??sp?t?k],"专治的     If  you  say  that  someone  is  despotic,  you  are  emphasizing  that  they  use  their  power  over  other people in a very unfair or cruel way.  ：tyrannical??，absolute，arbitrary     .                  ??反义词：??limited"
20,cronyism,[?kro?ni?z?m],"任人唯亲；袒护亲属/友   the  unfair  practice by  a  powerful  person  (such  as  a  politician)  of  giving  jobs  and
other favors to friends"
21,incongruity,[??nk?n?ɡru?   ?ti],"不和谐；不合适；不相称  the fact that something is?strange,?unusual,?or?unsuitable?in?a?particular?situation"
22,prolix,[?pro?l?ks],"(发言、书籍等)冗长的  using to much words :?verbose,?????circuitous?,?long-winded,????rambling"
23,hard-boiled,['hɑ:d'b?ild],not?feeling?or?showing?emotions such as affection or kindness : emotionally     tough
24,canny,[?k?ni],"精明谨慎的  very clever and able to make intelligent decisions:  ??clear-eyed/sighted,?hard-boiled,?shrewd"
25,riveting,[?r?v?t??],"引人入胜的     If you describe something as riveting, you mean that it is extremely?interesting?and?exciting,
and that it holds?your?attention?completely."
26,unmatched,[??n?m?t?t],"无与伦比的  If you describe something as unmatched, you are emphasizing that it is?better?or?greater?than
all?other?things?of?the?same?kind."
27,involuntary,[?n?vɑl?nt?ri],"1.不由自主的，无意识的做出  not done or made consciously
2.非自愿的  not done by choice  ：  compulsory"
28,conviction,[k?n?v?k??n],"坚定的信念       A conviction is a strong belief or opinion.
判罪  If someone has a conviction, they have been found guilty of a crime in a court of law."
29,ingratiate,[?n?ɡre??et],"讨好       If someone tries to ingratiate themselves with you, they do things to try and make you like them."
30,vitriolic,[?v?tri?ɑ?   l?k],(言语）尖刻的，辛辣的    vitriolic language  ，writing ect is very cruel and angry towards sb
31,bombastic,[b?m?b?st?k],辞藻华丽空洞的  bombastic language contains long words that sound important but have no real meaning
32,providential,[?prɑv??d?n?l],凑巧的  ，适时的  happening at a good time because of luck
33,tumultuous,[tu?m?lt?u?s],"1.动荡的       involving a lot of violence，  confusion  ，or disorder       .
2.  欢腾的  喧闹的  loud, excited , and emotional"
34,oracular,[??r?kj?l?r],"1.  玄妙深奥的，晦涩的  mysterious?,?enigmatic
2.  睿智的，哲人的????wise"
35,evidentiary,[?ev??den??r?],用作证据的，与证据相关的    able to be used as evidence  ，or    relating to evidence
36,solvable,[?s?lv?b?l],(问题）可解决的  capable of being solved solved
37,nuance,[?nu?   ɑ?   ns],"(声音、感觉、外貌或意义等方面的)  细微差别  A nuance is a?small?difference in sound, feeling, appearance, or
meaning."
38,pejorative,[p??d???   r?t?v],批评的;  贬损的       insulting to sb or sth  ：  expressing criticism
39,pry,[pra?],"刺探;  窥探        If  someone  pries,  they  try  to??find??out??about??someone??else's??private??affairs,  or  look  at  their
personal possessions."
40,pernicious,[p?r?n???s],有害的       causing?great?harm?or?damage?often in a way that is?not?easily?seen?or?noticed
41,divulge,[da??v?ld?],泄露（秘密，信息，细节）    to make information known  ：??reveal，unveil
42,imperative,[?m?p?r?t?v],"1.  至关重要的     extremely important and must be done.
2.  必须服从的  命令式的       expressing a command in a forceful and confident way"
43,preface,[?pr?f?s],"1.序言  an introduction to a book or speech  ；
2.说…作为开场白   If  you  preface  an  action  or  speech  with  something  else,  you  do  or  say  this  other  thing
first."
44,preempt,[pri?   ?empt],"预先制止      If  you  preempt  an  action,  you  prevent??it??from??happening??by  doing  something  that  makes  it
unnecessary or impossible."
45,unabated,[??n??be?t?d],"(程度，数量)不减的   If  something  continues  unabated,  it  continues  without  any  reduction  in  intensity  or
amount."
46,curt,[k?t],（言语  ）简短无理的    using very few words in a way that seems rude：brusque??，bluff
47,slump,[sl?mp],"1.〔价格、价值或数量〕暴跌，骤降  to suddenly go down in price, value, or number .
2.〔因无力站立而〕倒下，倚，靠 to fall or lean against something because you are not strong enough to stand"
48,preordained,[?pri?   ??   ?de?n],命中注定的  ，预先注定的  decided in advance and certain to happen
49,disconcert,[?d?sk?n?s??   rt],"使焦虑/困惑/尴尬?????If?something?disconcerts?you,?it?makes?you?feel anxious, confused, or embarrassed"
50,unexceptional,[??n?k?sep??nl],"普通的     If you describe something as unexceptional, you mean that it is?ordinary,?not?very?interesting,?and
often?disappointing.  ：commonplace"
51,roost,[ru?   st],"栖息  When birds or bats roost somewhere, they?rest?or?sleep there.  栖息"
52,panegyric,[?p?n??d??r?k],颂词  A panegyric is a speech or piece of writing that?praises?someone or something.
53,trepidation,[?trep??de??n],惊恐;  焦虑     Trepidation is?fear?or?anxiety?about something that you are going to do or experience.
54,unduly,[??n?du?   li],"过度地    an extreme, unreasonable, or unnecessary degree：??excessively??，exorbitantly??，overly"
55,elegiac,[?el??d?a??k],悲伤的，哀悼的  Something that is elegiac expresses or shows sadness.       名词：??elegy
56,cryptic,[?kr?pt?k],含义隐晦的     difficult to understand :    having     a meaning that is?mysterious?????or?not?easily?understood .
57,plaintive,[?ple?nt?v],"(声音）哀伤的  a plaintive sound is high, like sb crying, and sounds sad"
58,mesmerize,[?mezm?ra?z],"迷住  If you are mesmerized by something, you are so interested in it or so attracted to it that you cannot
think about anything else."
59,plummet,[?pl?m?t],"(数量、比率、价格)  暴跌  If an amount, rate, or price plummets, it decreases quickly by a large amount."
60,compound,[?kɑmpa?nd],使恶化，加剧    to make?a?difficult?situation?worse by adding more problems  ：  exacerbate
61,factuality,"[,f?kt??'?l?ti]",limited to  ，involving  ，or based on facts
62,bookish,[?b?k??],"好读书的，书呆子气的     more interested in reading books and studying than doing more physical activities
( such as sports)"
63,cerebral,[s??ribr?l],理性的    related to the mind rather than to feelings：??intellectual?and?not?emotional
64,aggravate,[??ɡr?vet],"使恶化  If someone or something aggravates a situation, they make?it?worse."
65,ostentation,[?ɑ?   sten?te??n],"卖弄;   炫耀   If  you  describe  someone's  behaviour  as  ostentation,  you  are  criticizing  them  for  doing  or
buying things in order to impress people."
66,muckrake,[?m?k?re?k],"搜集并揭发丑闻  to search out and publicly expose real or apparent misconduct of a prominent individual
or business"
67,archetypal,[?ɑ?   rki?ta?pl],"典型的     Someone or something that is archetypal has all the most important characteristics of a particular
kind of person or thing and is a?perfect?example of it."
68,displacement,[d?s?plesm?nt],"1.替代   Displacement  is  the  removal  of  something  from  its  usual  place  or  position  by  something  which then occupies that place or position.
2.逐出家园  Displacement is the forcing of people away from the area or country where they live."
69,meld,[meld],"（使）融合，（使）合并，（使）结合 if two things meld, or if you meld them, they combine into one thing"
70,spotty,[?spɑti],"1.〔质量〕有好有坏的，参差不齐的    good only in some parts, but not in other parts
2.〔尤指脸上〕有粉刺的       someone  who  is  spotty  has  small  raised  red marks  on their  skin,  especially  on
their face BrE informal"
71,theorem,[?θi?r?m],定理     A theorem is a statement in mathematics or logic that can be proved to be true by reasoning.
72,patent,[?p?tnt],"1.明显的  obvious or clear
2.专利      A  patent  is  an  official  right  to  be  the  only  person  or  company  allowed  to  make  or  sell  a  new
product for a certain period of time."
73,vanquish,[?v??kw??],彻底击败  To vanquish someone means to defeat them completely in a battle or a competition.
74,affectation,[??f?k?te??n],"做作的，不自然的     If you say that someone's attitude or behaviour is an affectation, you disapprove of the
fact that it is not genuine or natural, but is intended to impress other people.     Pretense  ，"
